Volt,Current
,
5,-2.0
10,-2.0
15,-1.0
20,-1.0
25,-1.0
26,-1.0
27.0,-1.0
28.0,-1.0
29.0,-1.0
29.05,0.0
29.10,0.0
29.15,2.0
29.20,6.0
29.25,12.0
29.30,19.0
29.35,28.0
29.4,37.0
29.45,48.0
29.5,60.0
29.55,73.0
29.6,86.0
29.65,98.0
29.7,112.0
29.75,128.0
29.80,
